City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mataura,0,NZ,1547268574,44,-46.19,168.86,71.48,3.71
Winnemucca,1,US,1547265360,84,40.97,-117.74,28.04,2.48
Hilo,90,US,1547265180,81,19.71,-155.08,71.96,5.82
Birjand,0,IR,1547265600,41,32.86,59.22,23.0,6.93
Cherskiy,48,RU,1547268579,45,68.75,161.3,-14.74,2.26
Beringovskiy,32,RU,1547268393,84,63.05,179.32,-5.38,24.07
Ayan,76,TR,1547268582,99,40.67,33.6,31.25,3.38
Arman,12,RU,1547268583,66,59.7,150.17,2.0,6.06
Mar del Plata,64,AR,1547268338,46,-46.43,-67.52,61.22,15.01
Albany,90,US,1547266740,72,42.65,-73.75,12.02,6.93
Rochester,75,US,1547266560,74,44.02,-92.46,28.4,4.7
Torbay,40,CA,1547265600,100,47.66,-52.73,32.0,13.87
Rudsar,75,IR,1547267400,100,37.14,50.29,41.0,4.38
Nyaunglebin,20,MM,1547268589,78,17.95,96.73,84.89,3.6
Puerto del Rosario,0,ES,1547267400,72,28.5,-13.86,62.6,10.29
Hobart,0,AU,1547266080,22,-42.88,147.33,75.2,23.04
Luwuk,44,ID,1547268593,77,-0.95,122.79,87.14,2.26
Saint-Philippe,1,CA,1547267700,61,45.36,-73.48,5.0,4.7
Busselton,0,AU,1547268595,74,-33.64,115.35,77.51,13.89
Itarema,64,BR,1547268596,97,-2.92,-39.92,73.64,0.92
Punta Arenas,75,CL,1547265600,100,-53.16,-70.91,42.8,21.92
Carnarvon,12,ZA,1547268598,79,-30.97,22.13,56.54,5.73
Wagar,48,US,1547268600,63,31.44,-87.99,42.41,5.39
Ucluelet,88,CA,1547268601,99,48.94,-125.55,40.79,2.15
Lagoa,0,PT,1547265600,34,37.14,-8.45,48.2,11.41
Mayumba,88,GA,1547268603,100,-3.44,10.65,76.43,3.6
Ushuaia,75,AR,1547265600,48,-54.81,-68.31,46.4,11.41
Airai,44,TL,1547268606,72,-8.93,125.41,82.01,2.37
Amalapuram,0,IN,1547267400,65,16.58,82.0,77.0,5.82
Gornopravdinsk,64,RU,1547268609,67,60.06,69.92,-8.98,7.18
Khandbari,0,NP,1547268610,64,27.38,87.21,30.44,0.13
Lebu,0,ET,1547268611,26,8.96,38.73,52.58,3.94
New Norfolk,0,AU,1547267940,30,-42.78,147.06,71.6,21.92
Borogontsy,24,RU,1547268613,0,62.67,131.17,-31.66,2.71
Westport,88,IE,1547268614,96,53.8,-9.52,47.18,17.36
Bluff,24,AU,1547268616,40,-23.58,149.07,90.92,9.64
Saint Anthony,90,US,1547265360,78,43.97,-111.68,30.02,3.36
Storforshei,68,NO,1547268618,90,66.4,14.52,23.33,4.94
Avarua,75,CK,1547265600,78,-21.21,-159.78,80.6,9.17
Nioro,12,GM,1547268620,58,13.79,-15.05,64.28,4.05
Portland,75,US,1547265180,72,45.52,-122.67,46.94,8.05
Cayenne,80,GF,1547267400,94,4.94,-52.33,73.4,7.74
Road Town,1,VG,1547265180,78,18.42,-64.62,75.02,4.7
Marawi,100,PH,1547268624,73,8.0,124.29,77.6,3.38
Oranjemund,56,ZA,1547268625,94,-28.55,16.43,63.83,10.09
Massakory,8,TD,1547268626,53,13.0,15.73,57.44,5.61
Barrow,0,AR,1547268628,64,-38.31,-60.23,59.06,12.44
Ribeira Grande,32,PT,1547268629,100,38.52,-28.7,60.59,19.48
Sao Filipe,0,CV,1547268630,100,14.9,-24.5,71.12,10.42
Port Elizabeth,1,US,1547265360,73,39.31,-74.98,30.02,7.4
Bredasdorp,12,ZA,1547268632,92,-34.53,20.04,64.91,14.9
Bikin,0,RU,1547268633,55,46.82,134.25,17.21,3.15
Rikitea,100,PF,1547268634,100,-23.12,-134.97,78.59,17.58
Kindu,32,CD,1547268635,92,-2.95,25.92,73.28,2.93
Lugovoy,88,RU,1547268637,79,59.72,65.88,4.61,10.65
Hermanus,0,ZA,1547268638,92,-34.42,19.24,56.9,4.27
Nouadhibou,0,MR,1547268394,73,20.93,-17.03,58.43,11.99
Nikolskoye,75,RU,1547267400,79,59.7,30.79,32.0,13.42
Hofn,0,IS,1547268641,95,64.25,-15.21,39.98,9.64
Manggar,64,ID,1547268642,100,-2.88,108.27,80.75,5.39
Puerto Ayora,56,EC,1547268643,100,-0.74,-90.35,75.44,6.62
Cockburn Town,56,TC,1547268357,100,21.46,-71.14,76.61,13.22
Atuona,76,PF,1547268646,100,-9.8,-139.03,81.02,16.69
Dikson,8,RU,1547268647,62,73.51,80.55,-21.22,19.48
Port Blair,56,IN,1547268648,100,11.67,92.75,80.48,10.09
Durban,90,FR,1547265600,94,43.54,0.58,37.4,4.7
Longyearbyen,20,NO,1547265000,50,78.22,15.63,8.6,20.8
Cape Town,64,ZA,1547265600,93,-33.93,18.42,51.8,4.7
Invermere,56,CA,1547268652,85,50.51,-116.03,14.15,0.81
Yellowknife,90,CA,1547265600,84,62.45,-114.38,6.8,6.93
Vaini,0,IN,1547265600,60,15.34,74.49,69.8,5.95
Port Alfred,0,ZA,1547268656,76,-33.59,26.89,69.23,17.02
Lavrentiya,20,RU,1547268657,86,65.58,-170.99,-9.43,26.64
